SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
12025,1610612761,TOR,Toronto Raptors,0012500034,2025-10-06,TOR vs. DEN,L,240,108,40,97,0.412,10,42,0.238,18,27,0.667,15,23,38,26,17,0,11,31,-4.0
12025,1610612741,CHI,Chicago Bulls,0012500035,2025-10-07,CHI @ CLE,W,240,118,42,81,0.519,13,40,0.325,21,29,0.724,15,36,51,31,9,4,26,22,1.0
12025,1610612739,CLE,Cleveland Cavaliers,0012500035,2025-10-07,CLE vs. CHI,L,241,117,44,94,0.468,15,41,0.366,14,24,0.583,9,23,32,27,19,3,15,24,-1.0
12025,1610612754,IND,Indiana Pacers,0012500036,2025-10-07,IND @ MIN,W,264,135,45,94,0.479,20,46,0.435,25,31,0.806,17,33,50,32,12,7,24,33,1.0
12025,1610612750,MIN,Minnesota Timberwolves,0012500036,2025-10-07,MIN vs. IND,L,267,134,43,90,0.478,17,36,0.472,31,41,0.756,11,30,41,26,14,5,20,26,-1.0
12025,1610612738,BOS,Boston Celtics,0012500038,2025-10-08,BOS @ MEM,W,238,121,41,94,0.436,15,53,0.283,24,34,0.706,16,33,49,26,13,11,13,31,18.0
12025,1610612744,GSW,Golden State Warriors,0012500015,2025-10-08,GSW vs. POR,W,241,129,42,89,0.472,19,45,0.422,26,34,0.765,9,35,44,31,9,4,19,25,6.0
12025,1610612745,HOU,Houston Rockets,0012500037,2025-10-08,HOU vs. UTA,W,240,140,52,97,0.536,13,34,0.382,23,30,0.767,19,28,47,32,10,6,13,9,13.0
12025,1610612763,MEM,Memphis Grizzlies,0012500038,2025-10-08,MEM vs. BOS,L,240,103,32,83,0.386,7,38,0.184,32,42,0.762,13,40,53,21,10,2,22,29,-18.0
12025,1610612748,MIA,Miami Heat,0012500003,2025-10-08,MIA vs. SAS,L,239,107,37,81,0.457,10,29,0.345,23,30,0.767,8,28,36,24,8,3,19,23,-5.0
