commence_time,home_team,away_team,bookmakers_key,name,price_1,price_2,price_3,price_4,price_5
2025-09-27 13:06:00-07:00,WSN,CHW,betus,CHW,107,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,betus,WSN,-117,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,bovada,CHW,102,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,bovada,WSN,-122,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,draftkings,CHW,101,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,draftkings,WSN,-123,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,fanduel,CHW,102,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,fanduel,WSN,-120,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,lowvig,CHW,106,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,lowvig,WSN,-117,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,mybookieag,CHW,103,,,,
2025-09-27 13:06:00-07:00,WSN,CHW,mybookieag,WSN,-120,,,,
2025-09-27 13:08:00-07:00,SFG,COL,betmgm,COL,290,,,,
2025-09-27 13:08:00-07:00,SFG,COL,betmgm,SFG,-400,,,,
2025-09-27 13:08:00-07:00,SFG,COL,betrivers,COL,340,,,,
2025-09-27 13:08:00-07:00,SFG,COL,betrivers,SFG,-590,,,,
2025-09-27 13:08:00-07:00,SFG,COL,bovada,COL,140,,,,
2025-09-27 13:08:00-07:00,SFG,COL,bovada,SFG,-185,,,,
2025-09-27 13:08:00-07:00,SFG,COL,draftkings,COL,282,,,,
2025-09-27 13:08:00-07:00,SFG,COL,draftkings,SFG,-406,,,,
2025-09-27 13:08:00-07:00,SFG,COL,fanduel,COL,310,,,,
2025-09-27 13:08:00-07:00,SFG,COL,fanduel,SFG,-440,,,,
2025-09-27 13:08:00-07:00,SFG,COL,mybookieag,COL,280,,,,
2025-09-27 13:08:00-07:00,SFG,COL,mybookieag,SFG,-400,,,,
2025-09-27 13:11:00-07:00,BOS,DET,betmgm,BOS,-125,-135.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,betmgm,DET,105,105.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,betonlineag,BOS,-120,,,,
2025-09-27 13:11:00-07:00,BOS,DET,betonlineag,DET,109,,,,
2025-09-27 13:11:00-07:00,BOS,DET,betrivers,BOS,-132,-148.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,betrivers,DET,108,108.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,betus,BOS,-122,,,,
2025-09-27 13:11:00-07:00,BOS,DET,betus,DET,111,,,,
2025-09-27 13:11:00-07:00,BOS,DET,bovada,BOS,-124,-110.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,bovada,DET,104,-120.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,draftkings,BOS,-132,-140.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,draftkings,DET,109,108.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,fanduel,BOS,-146,-126.0,-156.0,,
2025-09-27 13:11:00-07:00,BOS,DET,fanduel,DET,124,108.0,122.0,,
2025-09-27 13:11:00-07:00,BOS,DET,lowvig,BOS,-120,,,,
2025-09-27 13:11:00-07:00,BOS,DET,lowvig,DET,109,,,,
2025-09-27 13:11:00-07:00,BOS,DET,mybookieag,BOS,-130,-182.0,,,
2025-09-27 13:11:00-07:00,BOS,DET,mybookieag,DET,110,140.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,betmgm,MIA,110,110.0,180.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,betmgm,NYM,-130,-130.0,-225.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,betonlineag,MIA,116,116.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,betonlineag,NYM,-128,-128.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,betrivers,MIA,104,102.0,180.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,betrivers,NYM,-125,-124.0,-250.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,betus,MIA,116,117.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,betus,NYM,-127,-128.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,bovada,MIA,110,110.0,110.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,bovada,NYM,-132,-132.0,-145.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,draftkings,MIA,108,112.0,161.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,draftkings,NYM,-132,-136.0,-214.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,fanduel,MIA,106,116.0,196.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,fanduel,NYM,-124,-136.0,-260.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,lowvig,MIA,116,116.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,lowvig,NYM,-128,-128.0,,,
2025-09-27 13:11:00-07:00,MIA,NYM,mybookieag,MIA,109,114.0,195.0,,
2025-09-27 13:11:00-07:00,MIA,NYM,mybookieag,NYM,-128,-133.0,-250.0,,
2025-09-27 13:45:00-07:00,WSN,CHW,betmgm,CHW,-110,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,betmgm,WSN,-110,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,betonlineag,CHW,-105,,,,
2025-09-27 13:45:00-07:00,WSN,CHW,betonlineag,WSN,-105,,,,
