game_id,date,season,home_team,away_team,home_score,away_score,total_score,goal_diff,home_won,home_rest_days,away_rest_days,rest_days_diff,is_back_to_back_home,is_back_to_back_away,home_streak,away_streak,streak_diff,home_wins_l10,away_wins_l10,home_goals_l10,away_goals_l10,goals_diff_l10,home_goals_against_l10,away_goals_against_l10,goals_against_diff_l10,home_total_goals_l10,away_total_goals_l10,home_shots_l10,away_shots_l10,home_shots_against_l10,away_shots_against_l10,home_shooting_pct_l10,away_shooting_pct_l10,home_save_pct_l10,away_save_pct_l10,home_pp_goals_l10,away_pp_goals_l10,home_pp_goals_against_l10,away_pp_goals_against_l10,home_hits_l10,away_hits_l10,home_pim_l10,away_pim_l10,home_blocked_shots_l10,away_blocked_shots_l10,home_takeaways_l10,away_takeaways_l10,home_giveaways_l10,away_giveaways_l10,home_home_wins_l10,away_away_wins_l10,home_home_games_l10,away_home_games_l10,home_goals_std_l10,away_goals_std_l10,home_goals_against_std_l10,away_goals_against_std_l10,home_goals_trend_l10,away_goals_trend_l10,home_goals_against_trend_l10,away_goals_against_trend_l10,home_top3_avg_goals,away_top3_avg_goals,home_top6_avg_goals,away_top6_avg_goals,home_top3_avg_assists,away_top3_avg_assists,home_top6_avg_assists,away_top6_avg_assists,home_top3_avg_points,away_top3_avg_points,home_top6_avg_points,away_top6_avg_points,home_top6_total_plusminus,away_top6_total_plusminus,home_goalie_save_pct,home_goalie_goals_against,home_goalie_saves,home_goalie_shots_against,away_goalie_save_pct,away_goalie_goals_against,away_goalie_saves,away_goalie_shots_against,goalie_save_pct_diff,goalie_goals_against_diff
2013021174,2014-04-06,2013-2014,CHI,STL,4,2,6,2,1,1.0,0.0,1.0,0,1,2.0,-1.0,3.0,5.0,6.0,2.3,1.9,0.3999999999999999,2.5,2.1,0.3999999999999999,4.8,4.0,31.8,30.3,26.4,26.3,0.0710443691646699,0.06262856455713597,0.9052350838310799,0.9159383002243043,0.5,0.6,0.3,0.7,19.9,27.2,10.5,23.7,12.8,13.4,4.5,5.2,6.8,4.0,4.0,2.0,5.0,6.0,1.5670212364724196,1.9119507199599977,1.2692955176439848,1.6633299933166195,0.03333333333333366,-1.2333333333333334,0.16666666666666652,-0.43333333333333335,0.16961143431731665,0.11509630466152206,0.17374455609749725,0.0956662548854833,0.26746211305034834,0.16275048622874708,0.3576460304401481,0.24136701190895926,0.437073547367665,0.27784679089026915,0.5313905865376453,0.3370332667944425,0.9853332941568235,0.15037078863165823,0.7499957647058824,1.7647058823529411,19.705882352941178,21.470588235294116,0.6638433947368421,1.8421052631578947,21.69736842105263,23.539473684210527,0.0861523699690403,-0.07739938080495357
2013021172,2014-04-06,2013-2014,CBJ,NYI,4,0,4,4,1,1.0,0.0,1.0,0,1,-1.0,-1.0,0.0,4.0,6.0,2.0,2.6,-0.6000000000000001,2.2,2.4,-0.19999999999999973,4.2,5.0,33.0,32.8,30.4,29.3,0.06612313169494016,0.078005604288499,0.9237307518143683,0.9072839725615687,0.6,0.6,0.6,0.6,40.1,30.1,11.1,12.9,12.8,17.6,6.8,9.0,6.2,8.5,1.0,2.0,6.0,7.0,1.247219128924648,1.5055453054181611,1.0327955589886435,1.8378731669453638,0.3333333333333335,0.3999999999999999,0.1333333333333333,-0.3999999999999999,0.1484796596097966,0.1476923076923077,0.14036994382233625,0.1291916951071881,0.22804673446796733,0.2010042735042735,0.3117933202856269,0.2139157836164878,0.3765263940777639,0.3486965811965812,0.4521632641079631,0.34310747872367586,0.07954480985122024,-0.8234844146463864,0.3156487333333333,0.8133333333333334,8.266666666666667,9.08,0.6119583035714287,1.8392857142857142,17.196428571428573,19.035714285714285,-0.29630957023809534,-1.025952380952381
2013021171,2014-04-06,2013-2014,FLA,DAL,3,2,5,1,1,1.0,0.0,1.0,0,1,-5.0,1.0,-6.0,2.0,6.0,1.5,3.2,-1.7000000000000002,3.4,2.5,0.8999999999999999,4.9,5.7,29.3,32.0,32.3,32.1,0.05667965982122926,0.10401753944350287,0.8867277060798866,0.9207056934942763,0.2,0.4,0.7,0.7,23.4,18.8,10.7,14.1,11.9,14.3,5.7,5.5,7.2,7.3,1.0,3.0,4.0,3.0,1.080123449734644,1.9888578520235058,1.5776212754932295,1.5811388300841884,0.5,0.46666666666666634,0.6000000000000001,-0.5,0.05483035483035483,0.11798755495938594,0.07736644447170764,0.10256171532116676,0.22672882672882674,0.2112918250242194,0.21598787015453683,0.24746270017767424,0.2815591815591816,0.32927937998360535,0.29335431462624445,0.350024415498841,-0.9146580515001568,-0.08142362949627585,0.721688,1.8208955223880596,20.34328358208955,22.16417910447761,0.6752130327868853,2.0327868852459017,19.83606557377049,21.868852459016395,0.046474967213114726,-0.21189136285784205
2013021175,2014-04-07,2013-2014,COL,PIT,2,3,5,-1,0,1.0,0.0,1.0,0,1,6.0,-1.0,7.0,7.0,4.0,2.9,2.3,0.6000000000000001,2.5,2.7,-0.20000000000000018,5.4,5.0,28.0,29.7,33.0,26.7,0.10771462236979475,0.08004068765234915,0.9206904292157748,0.8931668228004435,0.5,0.6,0.6,0.6,26.9,28.8,14.1,7.5,15.0,10.6,7.8,4.0,7.6,7.2,3.0,2.0,4.0,6.0,1.1972189997378655,1.636391694484476,1.6499158227686108,1.4181364924121773,0.10000000000000009,-0.6333333333333331,-1.1666666666666667,0.6333333333333333,0.07191025612078243,0.04652475407192388,0.08145991500353432,0.0950276488012337,0.21148404043140887,0.05914121817086776,0.1835273753983199,0.1714657509805758,0.28339429655219134,0.10566597224279166,0.26498729040185426,0.26649339978180947,0.3512293110346463,-0.8062835736690184,0.22828327999999998,0.6266666666666667,6.373333333333333,7.0,0.7131962948717949,1.8076923076923077,19.666666666666668,21.474358974358974,-0.48491301487179495,-1.181025641025641
2013021176,2014-04-07,2013-2014,EDM,ANA,4,2,6,2,1,1.0,1.0,0.0,0,0,1.0,-1.0,2.0,4.0,6.0,2.3,3.3,-1.0,3.6,2.7,0.8999999999999999,5.9,6.0,29.0,32.0,32.8,30.8,0.08129843266012678,0.11139486386950888,0.888483086181959,0.9056946672385324,0.6,0.5,0.7,0.6,19.1,26.4,12.9,9.5,14.1,13.6,7.0,4.2,9.9,8.8,2.0,3.0,6.0,5.0,1.5670212364724199,1.494434118097326,2.1705094128132942,1.337493509849259,0.3666666666666667,0.03333333333333366,-0.2666666666666666,0.9666666666666663,0.1088876951084848,0.0707070707070707,0.07198770720336521,0.2066114690077646,0.13304309547258783,0.15293560606060605,0.09283733720997811,0.33154955965556726,0.2419307905810726,0.22364267676767677,0.16482504441334334,0.5381610286633318,-1.7764341857867878,1.7433557864413545,0.44438822368421055,1.1578947368421053,13.710526315789474,14.868421052631579,0.5753066315789473,1.5394736842105263,15.842105263157896,17.38157894736842,-0.1309184078947368,-0.381578947368421
2013021177,2014-04-07,2013-2014,NJD,CGY,0,1,1,-1,0,1.0,2.0,-1.0,0,0,2.0,2.0,0.0,5.0,6.0,2.5,3.4,-0.8999999999999999,2.0,2.5,-0.5,4.5,5.9,27.1,28.1,25.1,29.5,0.08989533746951406,0.1220561026079903,0.9203566077577298,0.9089952411489357,0.4,0.3,0.3,0.4,19.3,18.7,7.5,5.5,10.6,16.7,7.1,7.5,8.3,7.3,4.0,3.0,7.0,5.0,1.6499158227686108,2.0110804171997816,1.0540925533894594,1.8408935028645426,-0.16666666666666652,-0.7333333333333334,-0.6666666666666667,-0.8333333333333333,0.23076923076923075,0.23571239214277773,0.15554815554815557,0.22841583659426468,0.2948717948717949,0.2710391065274464,0.27142057802435154,0.3356216774467297,0.5256410256410257,0.5067514986702241,0.4269687335725072,0.5640375140409944,-0.1814179007575234,-0.34484862135418315,0.42392564102564106,1.1794871794871795,10.653846153846153,11.833333333333334,0.29308576666666664,0.9333333333333333,7.766666666666667,8.7,0.13083987435897443,0.24615384615384617
2013021184,2014-04-08,2013-2014,TBL,TOR,3,0,3,3,1,2.0,2.0,0.0,0,0,-2.0,-1.0,-1.0,5.0,2.0,3.0,2.6,0.3999999999999999,3.0,3.6,-0.6000000000000001,6.0,6.2,30.6,29.5,29.4,32.9,0.09974668934825685,0.09061124905155923,0.8974828017994035,0.8876484840636458,1.1,0.6,0.6,0.6,19.3,30.8,10.4,10.5,13.5,14.1,6.3,7.9,7.7,9.7,2.0,0.0,5.0,7.0,1.333333333333333,0.6992058987801002,1.154700538379251,0.8432740427115674,-1.0,0.3999999999999999,0.0,-0.6000000000000001,0.13804513268479915,0.02338332527011772,0.13922467752811732,0.05499119935564822,0.26828138442194427,0.05708756652152879,0.26317058763431017,0.1223863442085885,0.40632651710674345,0.0804708917916465,0.4023952651624276,0.1773775435642367,0.4616500235916555,-0.6286433254422039,0.7477967432432433,1.7972972972972974,21.91891891891892,23.716216216216218,0.16666666666666666,0.0,2.3333333333333335,2.3333333333333335,0.5811300765765767,1.7972972972972974
2013021179,2014-04-08,2013-2014,VAN,ANA,0,3,3,-3,0,1.0,0.0,1.0,0,1,1.0,-2.0,3.0,5.0,5.0,2.6,3.3,-0.6999999999999997,2.7,2.9,-0.19999999999999973,5.3,6.2,31.6,33.6,26.5,29.7,0.09135792432109047,0.1069504194250644,0.8916641132937017,0.8972151350747897,0.6,0.6,0.7,0.6,23.7,26.3,10.9,11.8,13.2,13.2,8.4,4.6,4.9,9.0,3.0,2.0,5.0,5.0,1.264911064067352,1.494434118097326,1.4944341180973248,1.197218999737865,-1.2666666666666668,-0.9666666666666663,0.2999999999999998,0.43333333333333357,0.1400677253079999,0.1519633765722048,0.13496550301822863,0.15575175686214113,0.39758569678478145,0.23322549538059542,0.3260338962174328,0.2886744764684444,0.5376534220927813,0.3851888719528002,0.4609993992356614,0.4444262333305855,-0.10537367974595643,1.3383557034662568,0.3115974722222222,1.0277777777777777,7.027777777777778,8.055555555555555,0.5793791298701298,1.5584415584415585,15.948051948051948,17.506493506493506,-0.2677816576479076,-0.5306637806637808
2013021178,2014-04-08,2013-2014,WPG,MIN,0,1,1,-1,0,2.0,1.0,1.0,0,0,1.0,1.0,0.0,4.0,5.0,2.6,3.0,-0.3999999999999999,3.0,2.5,0.5,5.6,5.5,28.5,25.6,28.1,24.4,0.09202795979488715,0.12541332108232525,0.8922248905309249,0.8884487993857324,0.7,0.5,0.9,0.8,29.6,19.8,11.0,8.8,14.2,13.3,5.9,5.3,8.6,4.6,1.0,4.0,3.0,3.0,1.5055453054181616,1.4142135623730951,1.247219128924646,1.840893502864543,-0.2666666666666666,0.0,-0.6666666666666665,-1.1666666666666667,0.0999392660785066,0.21822894773714444,0.1280287047692111,0.14874777963091027,0.16565976217874953,0.3968754378590444,0.22192233796997288,0.2945915650833683,0.26559902825725606,0.6151043855961889,0.3499510427391839,0.44333934471427855,-0.16754486907718089,0.11854398025735943,0.6919590273972602,2.232876712328767,20.28767123287671,22.52054794520548,0.5239674999999999,1.46,14.98,16.44,0.1679915273972603,0.7728767123287672
2013021182,2014-04-08,2013-2014,NYR,CAR,4,1,5,3,1,2.0,2.0,0.0,0,0,-2.0,-1.0,-1.0,7.0,5.0,3.5,2.7,0.7999999999999998,1.9,1.9,0.0,5.4,4.6,34.1,28.5,29.8,32.3,0.10247343483703979,0.09630120327700971,0.9370141232000815,0.9366106169947972,0.3,0.9,0.3,0.1,20.8,20.3,8.8,6.7,13.4,14.2,8.3,8.9,6.4,7.8,2.0,4.0,3.0,4.0,1.840893502864543,1.1595018087284064,1.5238839267549962,1.4491376746189437,-1.1666666666666665,0.2999999999999998,0.10000000000000009,-0.5666666666666667,0.23110307414104883,0.06540710751237067,0.19991857049839898,0.1103302876329192,0.335623869801085,0.10701754385964912,0.24384039292165058,0.16399202303807567,0.5667269439421339,0.1724246513720198,0.44375896342004956,0.2743223106709949,0.08507057486232658,0.16791336774889407,0.7342640263157895,1.868421052631579,21.263157894736842,23.13157894736842,0.4599641666666667,1.462962962962963,12.592592592592593,14.055555555555555,0.2742998596491228,0.40545808966861596
2013021183,2014-04-08,2013-2014,CBJ,PHX,4,3,7,1,1,1.0,2.0,-1.0,0,0,1.0,-4.0,5.0,5.0,4.0,2.3,2.0,0.2999999999999998,1.9,2.4,-0.5,4.2,4.4,31.6,25.5,31.5,28.7,0.0761166842416842,0.07731152946670183,0.9387307518143683,0.9189604728937562,0.9,0.7,0.5,0.4,39.5,29.5,12.6,7.9,13.2,13.9,7.2,6.1,7.0,5.1,2.0,3.0,6.0,5.0,1.337493509849259,1.1547005383792515,1.1972189997378642,1.07496769977314,0.7000000000000002,-1.0,-0.5666666666666667,-0.06666666666666643,0.09815278968106379,0.19613135402609086,0.11741718144757236,0.1597963440068703,0.3451097707561866,0.3213225371120108,0.341909030544932,0.3002484357747516,0.4432625604372504,0.5174538911381017,0.45932621199250434,0.4600447797816219,0.06032468014572276,-0.4660839160839161,0.31149546052631577,0.8026315789473685,8.157894736842104,8.960526315789474,0.25899476923076925,0.5512820512820513,6.576923076923077,7.128205128205129,0.05250069129554652,0.25134952766531715
2013021185,2014-04-08,2013-2014,FLA,PHI,2,5,7,-3,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,2.0,4.0,1.5,2.5,-1.0,3.4,2.2,1.1999999999999997,4.9,4.7,29.3,32.3,30.6,31.7,0.05667965982122926,0.08508969690216393,0.885026004378185,0.9300213367994395,0.2,0.6,0.7,0.4,24.4,31.3,10.5,10.4,10.4,16.9,5.8,5.6,6.1,7.4,2.0,0.0,5.0,7.0,1.080123449734644,1.7795130420052194,1.5776212754932295,1.1352924243950915,0.5,-0.16666666666666652,-0.7333333333333334,0.46666666666666634,0.12822867543641928,0.13750227960754277,0.16087467048968707,0.14371071476334635,0.21958136841234385,0.2213353029142503,0.22993487713884872,0.2614530522425259,0.3478100438487631,0.35883758252179304,0.39080954762853576,0.4051637670058723,-0.7116123993328827,-0.2775577196629828,0.7249859117647058,1.8235294117647058,20.558823529411764,22.38235294117647,0.3210857808219178,0.863013698630137,8.273972602739725,9.136986301369863,0.40390013094278804,0.9605157131345688
2013021180,2014-04-08,2013-2014,BUF,DET,2,4,6,-2,0,1.0,2.0,-1.0,0,0,-3.0,-1.0,-2.0,2.0,6.0,1.7,3.3,-1.5999999999999999,3.2,3.1,0.10000000000000009,4.9,6.4,24.7,28.5,33.1,29.3,0.07096126570268445,0.12188184780926714,0.9030420171881273,0.8914875456612495,0.5,0.8,0.8,0.7,19.5,20.3,9.5,9.1,17.8,12.6,4.3,4.2,4.6,5.1,1.0,2.0,2.0,6.0,0.9486832980505142,0.823272602348564,1.549193338482967,1.2866839377079193,-0.033333333333333215,-0.2999999999999998,0.1333333333333333,-0.10000000000000009,0.0533459251994721,0.2772413137958059,0.08637589469850149,0.1796687900512993,0.17524184858280967,0.45117755559249845,0.15280225145189866,0.34535935809314533,0.22858777378228182,0.7284188693883044,0.23917814615040014,0.5250281481444445,-1.2157676800697395,-0.5068089899624973,0.40276599999999996,1.2727272727272727,12.363636363636363,13.636363636363637,0.671483909090909,1.9545454545454546,19.803030303030305,21.757575757575758,-0.2687179090909091,-0.6818181818181819
2013021181,2014-04-08,2013-2014,NYI,OTT,1,4,5,-3,0,1.0,2.0,-1.0,0,0,-2.0,1.0,-3.0,6.0,5.0,2.3,3.0,-0.7000000000000002,2.4,3.1,-0.7000000000000002,4.7,6.1,32.1,33.7,30.0,36.4,0.07011086744639375,0.08891963879792823,0.9105473758249719,0.9032102814640768,0.6,0.4,0.9,0.7,31.7,27.3,16.0,18.0,17.2,11.3,8.4,8.1,8.1,8.7,4.0,2.0,6.0,6.0,1.7029386365926393,1.7638342073763935,1.8378731669453638,1.728840330651992,-0.6333333333333331,-0.3333333333333335,0.2666666666666666,0.5666666666666664,0.14566719829877725,0.13598425570256556,0.10915838547417495,0.1858192615939095,0.19810619622649697,0.2956679470763978,0.15158158814173853,0.32497493898902347,0.34377339452527417,0.4316522027789633,0.26073997361591345,0.510794200582933,-0.72157948567723,-1.061887072239185,0.6012221929824562,1.8070175438596492,16.894736842105264,18.70175438596491,0.6507514857142858,2.1285714285714286,20.814285714285713,22.942857142857143,-0.0495292927318296,-0.32155388471177937
