,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
96,Cleveland Guardians,-158,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,draftkings,h2h
97,Texas Rangers,129,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,draftkings,h2h
98,Cleveland Guardians,-154,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,mybookieag,h2h
99,Texas Rangers,130,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,mybookieag,h2h
100,Cleveland Guardians,-147,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betus,h2h
101,Texas Rangers,132,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betus,h2h
102,Cleveland Guardians,-167,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betrivers,h2h
103,Texas Rangers,138,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betrivers,h2h
104,Cleveland Guardians,-160,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betmgm,h2h
105,Texas Rangers,135,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,betmgm,h2h
106,Cleveland Guardians,-159,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,bovada,h2h
107,Texas Rangers,133,2025-09-26T23:11:00Z,Cleveland Guardians,Texas Rangers,bovada,h2h
108,Miami Marlins,120,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,fanduel,h2h
109,New York Mets,-142,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,fanduel,h2h
110,Miami Marlins,122,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,lowvig,h2h
111,New York Mets,-135,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,lowvig,h2h
112,Miami Marlins,122,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betonlineag,h2h
113,New York Mets,-135,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betonlineag,h2h
114,Miami Marlins,118,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,draftkings,h2h
115,New York Mets,-143,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,draftkings,h2h
116,Miami Marlins,121,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,mybookieag,h2h
117,New York Mets,-143,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,mybookieag,h2h
118,Miami Marlins,122,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betus,h2h
119,New York Mets,-135,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betus,h2h
120,Miami Marlins,125,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betrivers,h2h
121,New York Mets,-155,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betrivers,h2h
122,Miami Marlins,120,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betmgm,h2h
123,New York Mets,-140,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,betmgm,h2h
124,Miami Marlins,115,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,bovada,h2h
125,New York Mets,-138,2025-09-26T23:11:00Z,Miami Marlins,New York Mets,bovada,h2h
