game_id,date,season,home_team,away_team,home_score,away_score,home_won,home_wins_l10,away_wins_l10,home_net_rating_l10,away_net_rating_l10,home_ppg_l10,away_ppg_l10,home_opp_ppg_l10,away_opp_ppg_l10,home_rest_days,away_rest_days,is_back_to_back_home,is_back_to_back_away,home_top3_avg_ppg,away_top3_avg_ppg,home_top5_avg_mpg,away_top5_avg_mpg,home_top6_total_plusminus,away_top6_total_plusminus,home_star_ppg,away_star_ppg,home_6thman_quality,away_6thman_quality,home_depth_variance,away_depth_variance,home_fg_pct_l10,away_fg_pct_l10,home_fg3_pct_l10,away_fg3_pct_l10
20100754,2002-02-19,2001-02,DAL,MIN,100,117,0,6.0,5.0,1.3,-1.0,110.5,97.4,109.2,98.4,1.0,1.0,0,0,20.986317671722777,13.025641025641024,34.414950558394615,25.961643884006115,14.58641588710956,17.364315159057323,19.35,19.057692307692307,9.660377358490566,9.326923076923077,6.509358471729336,5.317379639646532,0.47220000000000006,0.45149999999999996,0.3809,0.3646
20100758,2002-02-19,2001-02,LAL,BOS,108,109,0,6.0,4.0,6.5,-4.5,100.5,91.9,94.0,96.4,1.0,2.0,0,0,19.357562051847765,19.38618771165941,30.705761072565583,29.64918824715179,32.26009231573141,12.335876566398209,5.877551020408164,22.547169811320753,6.76,7.196078431372549,9.565786150584437,9.699760443323592,0.4652,0.40499999999999997,0.37089999999999995,0.3123
20100753,2002-02-19,2001-02,NJN,GSW,123,115,1,6.0,2.0,8.5,-3.3,100.7,95.1,92.2,98.4,1.0,1.0,0,0,14.280211375330273,15.129109977324262,27.93061031905824,26.525980130385484,19.6941100288404,-14.059538598047915,14.137254901960784,12.142857142857142,15.74,3.9130434782608696,4.82506251283319,6.1851765244787416,0.46369999999999995,0.413,0.3496,0.304
20100759,2002-02-20,2001-02,PHI,GSW,114,107,1,5.0,2.0,1.5,-3.9,89.8,96.7,88.3,100.6,1.0,0.0,0,1,17.79254079254079,15.294013605442176,33.14830511124284,30.249660816326532,11.607666339661838,-15.37559980089597,30.204545454545453,12.4,7.186046511627907,8.487804878048781,9.364576204766813,4.03601327978619,0.4096,0.4103,0.1472,0.26020000000000004
20100764,2002-02-20,2001-02,CHI,NYK,113,109,1,3.0,4.0,-8.2,-2.1,90.7,96.1,98.9,98.2,1.0,2.0,0,0,10.42251030391192,17.398692810457515,21.717752963390808,29.701875816993457,-12.559188846493429,-12.99673202614379,8.183673469387756,19.235294117647058,6.863636363636363,4.784313725490196,5.500386335863837,7.958477191433859,0.43289999999999995,0.442,0.3569,0.4072
20100765,2002-02-20,2001-02,DEN,UTA,99,110,0,4.0,8.0,-8.1,5.7,94.3,94.9,102.4,89.2,1.0,1.0,0,0,10.628292682926828,14.35477582846004,26.785992014453477,28.170031596919795,-20.24013550135501,10.95079540072899,14.84,23.90740740740741,11.119047619047619,4.441860465116279,3.244945196464782,6.8939754935057,0.4481,0.4628,0.373,0.3679
20100761,2002-02-20,2001-02,DET,WAS,97,90,1,8.0,6.0,4.4,0.0,91.2,96.5,86.8,96.5,1.0,1.0,0,0,6.490196078431372,12.679394564843482,25.059505360477523,27.142087278249857,4.202841242880131,-0.6405632208952149,7.392156862745098,19.735294117647058,12.553191489361701,5.461538461538462,2.9917182518318772,5.262382080720657,0.4478000000000001,0.45940000000000003,0.374,0.4125
20100760,2002-02-20,2001-02,MIA,LAC,71,81,0,7.0,4.0,4.8,-1.9,91.8,98.6,87.0,100.5,1.0,1.0,0,0,14.684040404040402,12.418238993710693,33.06043607078537,28.818410755204518,-1.8730840553275572,-3.7869650135995023,19.24,14.222222222222221,7.568627450980392,1.0909090909090908,4.451245823087661,4.733452180554516,0.45200000000000007,0.4375,0.3739,0.3704
20100763,2002-02-20,2001-02,MIL,HOU,115,76,1,3.0,5.0,-2.7,1.7,99.4,97.2,102.1,95.5,1.0,1.0,0,0,17.585165379283026,17.532831541218638,32.4851748351521,31.66734776625704,3.5022390330855178,-8.932914746543778,21.52777777777778,20.833333333333332,11.041666666666666,6.833333333333333,8.223484177307295,7.964578426909505,0.4511,0.4513,0.38730000000000003,0.3857
20100762,2002-02-20,2001-02,TOR,CHH,77,78,0,3.0,6.0,-4.6,3.4,87.2,93.2,91.8,89.8,1.0,1.0,0,0,12.612222222222222,17.684615384615384,30.97592414523486,33.260569029663145,-3.53307952882421,1.8115384615384613,12.32,19.403846153846153,2.4857142857142858,7.423076923076923,4.672718598402432,6.303103459527828,0.4293,0.44399999999999995,0.32120000000000004,0.3032
